28,6,5,4,4,5
29,5,4,4,5,6
30,4,4,1,4,5
31,3,4,3,5,4
32,4,4,3,3,6
33,6,6,4,6,4
34,6,6,5,5,6
35,5,5,4,4,6
36,4,4,1,4,4
37,5,3,4,5,7
38,7,7,5,4,6
39,5,4,5,4,6
40,3,4,3,5,5
41,5,2,6,4,7
42,5,4,3,5,5
43,5,5,2,2,4
44,6,4,5,4,6
45,5,5,5,5,6
46,4,6,4,4,6
47,5,6,4,4,5
48,5,6,4,4,5
49,5,5,3,4,4
50,4,4,2,4,2
51,6,6,4,6,6
52,4,5,1,4,5
53,7,6,4,5,5
54,6,6,6,3,4
55,5,7,2,4,5
56,6,6,4,4,6
57,4,6,5,6,5
58,7,4,4,3,5
59,6,6,6,4,4
60,6,6,5,4,5
61,5,5,5,5,3
62,4,6,5,4,6
63,6,5,5,5,4
64,7,7,5,5,4
65,6,3,3,4,6
66,5,4,2,2,5
67,6,7,5,4,5
68,4,5,3,4,6
69,5,6,4,4,5
70,7,7,4,6,7
71,6,6,4,4,5
72,4,4,4,4,4
73,7,6,5,6,4
74,7,5,6,4,4
75,5,6,4,5,6
76,6,7,3,7,7
77,6,4,6,4,4
78,6,4,3,3,5
79,4,7,4,2,6
80,6,7,6,6,6
81,6,4,3,4,7
82,6,6,5,4,7
83,6,3,5,5,5
84,6,5,5,6,6
85,5,7,4,2,3
86,7,6,6,6,4
87,5,4,4,4,2
88,6,6,5,3,6
89,6,4,4,3,4
90,4,6,3,4,4
91,4,4,4,4,4
92,5,4,6,4,3
93,6,6,6,6,4
94,6,6,6,4,5
95,6,5,5,4,4
96,6,4,5,4,3
97,6,6,6,5,6
98,6,4,4,4,3
99,5,4,2,4,3
100,7,6,7,4,4
101,6,4,6,4,4
102,4,6,5,4,7
103,4,5,5,4,5
104,6,6,4,5,3
105,5,5,5,4,3
106,5,5,4,4,6
107,5,5,5,4,5
108,7,5,4,4,6
109,4,6,6,3,5
110,6,4,4,4,6
111,4,4,4,4,4
112,6,5,4,4,5
113,5,4,5,3,3
114,6,6,5,3,5
115,5,5,5,6,6
116,5,4,4,4,4
117,7,5,6,4,4
118,6,6,5,7,6
119,4,2,6,4,2
120,6,6,4,6,5
121,6,6,5,6,6
122,4,4,3,4,6
123,5,4,4,5,6
124,4,4,1,4,4
125,5,4,4,5,4
126,5,6,4,3,4
127,3,4,4,4,3
128,7,6,6,6,7
129,5,7,6,4,3
130,7,5,5,5,3
131,7,6,4,6,6
132,4,6,2,4,4
133,5,7,4,4,6
134,5,6,4,4,5
135,6,4,4,4,4
136,6,6,6,4,5
137,4,6,4,4,4
138,6,6,2,6,4
139,7,4,5,4,6
140,6,6,4,6,6
141,7,5,7,6,5
142,6,5,4,5,5
143,7,7,4,7,7
144,5,5,2,4,4
145,5,4,4,5,5
146,7,7,4,6,6
