28,14,5
29,7,4
30,15,4
30,16,5
30,17,5
30,18,4
30,19,3
30,20,4
30,21,5
31,22,4
31,23,1
31,24,1
31,25,2
31,7,5
31,26,4
31,27,4
31,28,4
31,29,1
31,30,5
31,31,4
32,32,4
32,33,3
32,18,4
32,7,5
32,21,5
32,28,5
32,17,5
33,34,3
33,35,4
33,7,5
33,18,4
33,8,5
33,36,4
33,37,5
33,38,5
33,39,5
33,40,5
33,41,5
33,42,5
33,43,5
33,44,5
33,45,5
33,5,5
33,46,4
34,47,5
34,8,4
34,7,5
35,8,5
35,48,4
35,31,4
35,7,5
36,49,3
36,50,4
36,43,4
37,51,5
37,52,5
37,7,4
37,53,3
38,18,1
38,36,4
38,47,3
38,43,3
39,54,3
39,7,5
39,8,1
39,55,2
40,42,2
41,8,5
41,56,5
41,57,5
41,37,5
42,58,4
42,35,4
42,59,4
42,60,3
42,61,3
42,62,4
43,63,3
43,64,5
43,56,5
43,7,5
43,65,4
44,66,5
44,67,5
44,68,3
44,56,4
44,53,5
44,10,2
45,42,4
45,43,3
45,68,4
46,35,5
46,57,5
47,69,4
47,70,4
47,71,4
47,46,3
47,57,3
47,72,5
47,7,5
47,8,5
47,58,4
47,67,4
48,73,5
48,56,4
49,3,2
49,74,2
49,56,4
49,75,5
49,7,3
49,42,2
50,8,3
50,46,4
50,56,4
50,3,5
51,57,4
51,44,4
52,42,4
52,3,5
52,43,4
52,7,4
52,56,4
52,8,4
52,76,4
53,72,5
53,62,5
53,8,4
53,77,3
53,56,5
53,66,4
54,59,3
54,42,4
54,56,4
54,7,3
55,18,3
55,42,5
55,61,5
55,78,4
55,56,4
55,43,4
56,42,5
56,46,5
56,7,3
57,75,3
57,69,4
58,35,4
58,79,3
58,7,3
58,47,4
58,15,3
59,8,3
60,8,4
60,7,5
60,67,4
60,36,5
61,68,5
61,80,5
62,59,5
62,66,4
62,53,4
62,46,4
62,19,4
62,50,4
63,81,5
63,42,5
63,53,5
63,79,4
63,56,5
63,7,5
63,3,4
63,82,4
64,68,5
64,7,5
64,8,3
64,36,4
65,35,2
65,7,3
65,59,4
65,8,3
65,56,4
65,42,4
65,43,1
66,55,3
66,62,4
66,67,4
66,48,5
66,76,4
66,80,4
67,72,5
67,8,4
67,56,3
67,7,3
67,42,4
67,51,3
67,53,4
68,56,4
68,73,4
68,68,5
68,66,4
69,82,4
69,7,4
69,56,4
69,8,5
70,8,1
70,79,1
70,7,5
70,59,5
70,14,5
70,69,1
70,44,1
70,83,5
71,75,1
71,8,3
71,56,1
71,84,2
71,3,2
71,42,2
71,53,2
71,79,2
72,76,3
72,82,3
72,3,4
72,84,3
72,18,2
72,75,4
72,49,4
72,56,4
73,60,3
73,42,4
73,8,5
73,56,5
73,7,4
73,69,4
73,3,2
74,46,3
74,79,2
74,56,3
74,8,3
74,68,4
74,54,4
75,58,4
75,35,4
76,7,4
76,56,4
76,43,3
76,51,1
76,42,5
77,53,4
77,66,2
77,85,2
77,62,3
77,59,5
77,75,5
77,55,2
77,46,1
78,86,4
78,87,3
78,8,4
78,56,5
78,42,3
78,46,3
78,53,4
79,75,2
79,48,4
79,46,5
80,56,4
80,75,4
80,8,2
80,66,3
80,7,4
81,88,2
81,89,3
81,90,4
81,91,5
81,91,5
81,92,5
81,43,5
81,75,5
81,46,4
81,51,1
82,56,4
82,42,2
82,81,3
82,3,4
82,7,2
82,8,4
82,12,4
82,93,4
82,94,5
82,95,4
83,49,3
83,56,4
83,42,4
83,46,4
83,70,2
83,58,3
83,19,3
83,8,3
84,43,4
84,60,4
84,59,3
84,77,5
84,42,4
85,65,2
85,8,4
85,37,5
86,58,4
86,75,5
86,55,5
86,66,5
86,60,5
87,36,3
87,7,4
