28,14,5
29,7,4
30,15,4
30,16,5
30,17,5
30,18,4
30,19,3
28,14,5
29,7,4
30,15,4
30,16,5
30,17,5
30,18,4
30,19,3
30,20,4
30,21,5
31,22,4
31,23,1
28,14,5
29,7,4
30,15,4
30,16,5
30,17,5
30,18,4
30,19,3
28,14,5
29,7,4
30,15,4
30,16,5
30,17,5
30,18,4
30,19,3
30,20,4
30,21,5
31,22,4
31,23,1
31,24,1
31,25,2
31,7,5
31,26,4
31,27,4
31,28,4
28,14,5
29,7,4
30,15,4
28,14,5
29,7,4
30,15,4
30,16,5
28,14,5
29,7,4
30,15,4
28,14,5
29,7,4
30,15,4
30,16,5
28,14,5
29,7,4
30,15,4
30,16,5
28,14,5
29,7,4
30,15,4
30,16,5
28,14,5
29,7,4
30,15,4
30,16,5
28,14,5
29,7,4
30,15,4
30,16,5
30,17,5
30,18,4
28,14,5
29,7,4
30,15,4
30,16,5
30,17,5
28,14,5
29,7,4
30,15,4
30,16,5
30,17,5
30,18,4
28,14,5
29,7,4
30,15,4
28,14,5
29,7,4
30,15,4
30,16,5
30,17,5
30,18,4
30,19,3
30,20,4
30,21,5
31,22,4
28,14,5
29,7,4
30,15,4
30,16,5
30,17,5
30,18,4
28,14,5
29,7,4
30,15,4
30,16,5
28,14,5
29,7,4
30,15,4
30,16,5
30,17,5
30,18,4
30,19,3
28,14,5
29,7,4
30,15,4
30,16,5
30,17,5
30,18,4
30,19,3
30,20,4
28,14,5
29,7,4
30,15,4
30,16,5
28,14,5
29,7,4
30,15,4
30,16,5
30,17,5
30,18,4
28,14,5
29,7,4
30,15,4
28,14,5
29,7,4
30,15,4
30,16,5
30,17,5
28,14,5
29,7,4
30,15,4
30,16,5
28,14,5
29,7,4
30,15,4
30,16,5
30,17,5
30,18,4
28,14,5
29,7,4
30,15,4
30,16,5
30,17,5
30,18,4
30,19,3
30,20,4
28,14,5
29,7,4
30,15,4
30,16,5
28,14,5
29,7,4
30,15,4
30,16,5
30,17,5
30,18,4
30,19,3
28,14,5
29,7,4
30,15,4
30,16,5
30,17,5
30,18,4
28,14,5
29,7,4
30,15,4
30,16,5
30,17,5
30,18,4
30,19,3
28,14,5
29,7,4
30,15,4
30,16,5
28,14,5
29,7,4
30,15,4
30,16,5
30,17,5
30,18,4
30,19,3
30,20,4
30,21,5
31,22,4
31,23,1
31,24,1
31,25,2
31,7,5
31,26,4
31,27,4
31,28,4
31,29,1
31,30,5
28,14,5
29,7,4
30,15,4
30,16,5
30,17,5
30,18,4
30,19,3
30,20,4
28,14,5
29,7,4
30,15,4
30,16,5
30,17,5
30,18,4
30,19,3
30,20,4
28,14,5
29,7,4
30,15,4
30,16,5
30,17,5
30,18,4
30,19,3
30,20,4
28,14,5
29,7,4
30,15,4
30,16,5
30,17,5
30,18,4
30,19,3
28,14,5
29,7,4
30,15,4
30,16,5
30,17,5
30,18,4
28,14,5
29,7,4
30,15,4
30,16,5
30,17,5
28,14,5
29,7,4
30,15,4
30,16,5
30,17,5
30,18,4
30,19,3
30,20,4
28,14,5
29,7,4
30,15,4
30,16,5
30,17,5
30,18,4
30,19,3
28,14,5
29,7,4
30,15,4
28,14,5
29,7,4
30,15,4
30,16,5
30,17,5
28,14,5
29,7,4
30,15,4
30,16,5
30,17,5
30,18,4
30,19,3
30,20,4
30,21,5
31,22,4
28,14,5
29,7,4
30,15,4
30,16,5
30,17,5
30,18,4
30,19,3
30,20,4
30,21,5
31,22,4
28,14,5
29,7,4
30,15,4
30,16,5
30,17,5
30,18,4
30,19,3
30,20,4
28,14,5
29,7,4
30,15,4
30,16,5
30,17,5
28,14,5
29,7,4
30,15,4
28,14,5
29,7,4
30,15,4
30,16,5
30,17,5
28,14,5
