2,2.7,2.8,3.1,3.3,2.6
3,3.2,2.9,3.2,3.5,4
4,3, 2.9,3.2,3.5,3.2
6,3.7,3.2,2.75,2.111,3.3
8,3.2,3.4,1.75,2.75,2.8
9,3.1,3.3,3.4,2.9,3.6
10,3.2,2.7,2.9,3.5,2.9
14,3.1,3.1,2.7,2.5,3.2
15,2.9,3.7,3.1,3.4,2.9
16,3.1,3,3.2,3.6,3.8
18,3,3,2.9,2.333,3.2
19, 2.1,3.5,3.1,3.4,3.6
21, 3.1,3.7,2.25,2.6,2.6
24, 2.8,3.2,2.8,2.7,3.9
25, 3.2,3.4,2,3.2,2.2
28, 2.9,3.1,2.5,3.6,3.8
29, 2.8,3.1,2.625,3.4,2.9
30, 3.222,  3.2,3,3.3,3.777
31, 3, 3.5,3.75,3.7,3.1
35, 3, 3.4,3.7,2.7,3.6
36, 2.9,3.1,3.3,3.9,3.2
37, 3.4,3.2,4,3.75,  4
39, 3.3,2.8,2.9,2.9,2.8
45, 3.3,3.5,3,3.6,3.3
46, 3.3,2.7,3.222,3.4,3.1
47, 3.1,3,3.2,2,3.2
48, 2.8,3,3,3,3.1
49, 2.9,3.3,3,2.4,3.4
52, 2.9,3.3,3,2.8,2.9
54, 2.9,3.5,3.5,2,3.5
58, 3, 3,2.9,2.8,3.3
61, 3, 3.2,3.4,3.1,3.3
62, 3.2,3.2,3.3,2.7,3.6
63, 2.8,2.9,3.1,3.4,3.4
65, 2.8,3.5,3.2,3.3,3.4
66, 2.9,2.9,2.8,3.6,2.9
67, 2.9,3.2,3.6,3.1,3.4
70, 3.5,3.3,3.2,2.8,3.5
91, 3.1,3.2,2.2,2.8,3.8
92, 3.3,3.3,2.875,2.9,2.7
93, 3.1,2.9,3,2,3.222
94, 3.8,2.9,3.666,2.9,2.888
96, 3, 3.2,2.6,3.1,3.111
97, 2.8,3.2,3.1,3.8,3.3
99, 3.2,3.1,3.8,2.7,3.4
100,3.2,3,2.8,3.2,3.1
101,3.333,  3,3.375,3.888, 3.2
141,3.2,3.4,2.625,3.2,3.5
144,3.3,3.3,3.5,3.1,3.6
147,3, 3.1,2.555,2.8,3.222
148,3.1,3.2,3.3,2.7,3
149,3.1,2.9,3,2.4,2.9
